iter	MAE
0	5.623056527
1	5.57449771
2	5.526696038
3	5.479589522
4	5.433448638
5	5.388263066
6	5.343961091
7	5.300588667
8	5.25824713
9	5.21646132
10	5.1751927
11	5.134375226
12	5.094645968
13	5.055525369
14	5.01712321
15	4.979359715
16	4.942004456
17	4.906510727
18	4.870882749
19	4.835449343
20	4.801319007
21	4.767010823
22	4.733548366
23	4.701436305
24	4.66949659
25	4.638065956
26	4.607052954
27	4.576409069
28	4.545518246
29	4.515451299
30	4.485775764
31	4.456600257
32	4.428144814
33	4.400057045
34	4.371929494
35	4.345225928
36	4.317521215
37	4.290334601
38	4.263642461
39	4.236575292
40	4.210146998
41	4.183997394
42	4.15719549
43	4.13105339
44	4.105767584
45	4.080557002
46	4.055851471
47	4.030592543
48	4.005955894
49	3.981966769
50	3.956659821
51	3.932091065
52	3.908160565
53	3.88438982
54	3.860969823
55	3.837401568
56	3.813565203
57	3.790480255
58	3.767227054
59	3.744170693
60	3.721146249
61	3.69847656
62	3.676082697
63	3.653541449
64	3.631488249
65	3.609527368
66	3.587283599
67	3.565928884
68	3.545587781
69	3.523798167
70	3.503229854
71	3.482767281
72	3.46273766
73	3.441763262
74	3.420853736
75	3.400285962
76	3.380015885
77	3.359465158
78	3.339535591
79	3.319360206
80	3.29872563
81	3.278917023
82	3.259087594
83	3.239824952
84	3.219732194
85	3.20011272
86	3.180737661
87	3.161687207
88	3.142654286
89	3.123895953
90	3.105485098
91	3.086678308
92	3.068002061
93	3.049317124
94	3.030814465
95	3.012686107
96	2.99473476
97	2.977258209
98	2.960010137
99	2.94256728
100	2.925440392
101	2.908489084
102	2.891797595
103	2.875655839
104	2.859674544
105	2.843871885
106	2.828605844
107	2.813519694
108	2.798021581
109	2.782997854
110	2.768261987
111	2.753687559
112	2.739571803
113	2.72508996
114	2.711041778
115	2.697765385
116	2.684411291
117	2.670877478
118	2.657362609
119	2.644390003
120	2.631515272
121	2.618709671
122	2.605945518
123	2.593854408
124	2.582061524
125	2.569930841
126	2.558168811
127	2.546586986
128	2.535012893
129	2.5239163
130	2.51272678
131	2.502094611
132	2.49215637
133	2.481857682
134	2.471740732
135	2.461813325
136	2.451838763
137	2.441974676
138	2.432453776
139	2.423140097
140	2.414009956
141	2.405153715
142	2.395881635
143	2.387188413
144	2.378504384
145	2.370195951
146	2.361837452
147	2.35361227
148	2.345718962
149	2.338270379
150	2.330800128
151	2.323517185
152	2.316374077
153	2.309340393
154	2.302534372
155	2.295705522
156	2.28881127
157	2.28226508
158	2.275773148
159	2.269651636
160	2.263735715
161	2.257984593
162	2.252426284
163	2.246773194
164	2.241174726
165	2.235719138
166	2.230849325
