iter	Passed	Remaining
0	575	575201
1	621	310357
2	626	208127
3	630	156990
4	635	126393
5	639	105968
6	644	91360
7	648	80401
8	653	71922
9	657	65134
10	672	60479
11	677	55753
12	700	53185
13	706	49733
14	727	47803
15	763	46944
16	781	45211
17	786	42901
18	790	40828
19	795	38973
20	800	37322
21	815	36266
22	820	34856
23	825	33552
24	829	32350
25	834	31247
26	838	30221
27	843	29277
28	847	28387
29	852	27555
30	856	26779
31	861	26046
32	865	25359
33	869	24708
34	874	24098
35	878	23522
36	882	22977
37	887	22466
38	892	21982
39	896	21514
40	900	21068
41	905	20645
42	909	20238
43	913	19853
44	918	19484
45	922	19128
46	939	19055
47	944	18725
48	948	18406
49	952	18099
50	956	17803
51	961	17520
52	965	17247
53	969	16987
54	974	16736
55	978	16493
56	983	16271
57	987	16044
58	992	15833
59	999	15663
60	1010	15548
61	1017	15398
62	1026	15271
63	1034	15125
64	1074	15462
65	1081	15303
66	1089	15173
67	1096	15024
68	1103	14885
69	1107	14719
70	1112	14559
71	1117	14403
72	1122	14253
73	1131	14158
74	1140	14066
75	1148	13961
76	1156	13864
77	1163	13753
78	1168	13619
79	1172	13485
80	1177	13364
81	1182	13237
82	1186	13111
83	1191	12989
84	1196	12881
85	1201	12774
86	1207	12671
87	1212	12565
88	1216	12455
89	1221	12353
90	1226	12253
91	1231	12150
92	1235	12049
93	1239	11950
94	1244	11854
95	1248	11758
96	1252	11664
97	1257	11572
98	1261	11482
99	1265	11393
100	1270	11307
101	1274	11222
102	1279	11138
103	1283	11057
104	1287	10976
105	1292	10902
106	1297	10824
107	1301	10748
108	1305	10673
109	1309	10598
110	1314	10525
111	1318	10454
112	1322	10383
113	1327	10314
114	1331	10246
115	1335	10179
116	1340	10113
117	1344	10048
118	1348	9984
119	1352	9921
120	1357	9859
121	1361	9798
122	1365	9737
123	1370	9678
124	1374	9620
125	1378	9563
126	1382	9506
127	1387	9450
128	1438	9715
129	1444	9663
130	1448	9608
131	1452	9553
132	1457	9500
133	1462	9449
134	1467	9400
135	1471	9348
136	1476	9298
137	1480	9247
138	1484	9196
139	1489	9146
140	1493	9097
141	1497	9049
142	1502	9001
143	1506	8954
144	1510	8907
145	1514	8860
146	1519	8815
147	1523	8771
148	1528	8728
149	1533	8687
150	1537	8645
151	1542	8604
152	1546	8563
153	1551	8524
154	1556	8484
155	1560	8443
156	1566	8412
157	1592	8485
158	1598	8456
159	1606	8434
160	1613	8410
161	1625	8408
162	1633	8386
163	1647	8400
164	1659	8397
165	1667	8379
166	1676	8364
167	1684	8340
168	1692	8322
169	1700	8301
170	1708	8282
171	1714	8255
172	1719	8219
173	1723	8183
174	1728	8149
175	1733	8115
176	1738	8085
177	1744	8056
178	1749	8022
179	1753	7987
180	1757	7953
181	1762	7920
182	1766	7887
183	1771	7854
184	1775	7822
185	1779	7789
186	1784	7756
187	1788	7724
188	1792	7692
189	1797	7661
190	1801	7630
191	1805	7598
192	1809	7567
193	1814	7537
194	1818	7507
195	1823	7478
196	1827	7448
197	1832	7421
198	1840	7407
199	1846	7384
200	1850	7355
201	1854	7327
202	1858	7298
203	1863	7270
204	1867	7242
205	1871	7214
206	1876	7187
207	1880	7159
208	1884	7133
209	1889	7106
210	1893	7080
211	1897	7054
212	1902	7028
213	1906	7002
214	1910	6976
215	1915	6951
216	1919	6925
217	1923	6900
218	1927	6875
219	1932	6851
220	1936	6826
221	1941	6802
222	1945	6778
223	1949	6753
224	1953	6729
225	1958	6706
226	1962	6682
227	1966	6658
228	1970	6635
229	1975	6614
230	1979	6591
231	1984	6568
232	1988	6545
233	1992	6523
234	1997	6501
235	2001	6479
236	2005	6456
237	2009	6435
238	2014	6413
239	2018	6392
240	2022	6370
241	2027	6349
242	2031	6328
243	2035	6307
244	2040	6286
245	2044	6265
246	2048	6245
247	2052	6224
248	2057	6204
249	2061	6184
250	2065	6164
